Implementation,blockSize,loop_total,avg_loop_t,min_loop_t,max_loop_t,avg_cpu_time,avg_gpu_time,transfers_time,alloc_time,gpu_alloc_time,gpu_get_time
Naive, 32, 4610.496044, 461.049604, 371.062994, 574.680090, 184.197688, 270.682502, 6.163502, 11.325121, 756.069899, 245.291948
Naive, 48, 5095.866919, 509.586692, 408.599138, 617.267847, 194.661307, 308.306670, 6.611991, 11.425018, 727.273941, 245.591879
Naive, 64, 5512.690067, 551.269007, 449.259043, 646.456957, 195.487928, 349.848628, 5.925918, 11.426210, 738.717079, 264.162064
Naive, 128, 5544.463873, 554.446387, 446.969032, 664.741039, 195.327640, 352.558756, 6.552839, 11.317015, 760.116100, 267.115116
Naive, 238, 5358.841181, 535.884118, 450.744867, 644.331217, 194.169307, 335.729337, 5.979085, 11.365175, 724.081993, 244.770050
Naive, 512, 5501.712084, 550.171208, 447.050095, 650.316000, 199.313545, 344.657373, 6.194258, 11.510134, 740.136862, 248.733044
Naive, 1024, 6451.030970, 645.103097, 542.081118, 722.340107, 212.093568, 426.444340, 6.558895, 11.195898, 706.028938, 245.209932
Transpose, 32, 1939.868927, 193.986893, 191.332102, 207.192898, 135.771632, 53.484011, 4.724431, 1109.320879, 1206.292868, 240.956068
Transpose, 48, 2253.355980, 225.335598, 222.398043, 241.444111, 135.369968, 85.192561, 4.767442, 1107.557058, 1168.654919, 244.177103
Transpose, 64, 2193.459034, 219.345903, 216.152191, 233.129978, 135.084438, 79.567552, 4.687548, 1100.907087, 1144.716978, 241.494179
Transpose, 128, 2207.226038, 220.722604, 217.676163, 234.380007, 136.338568, 79.615903, 4.761600, 1111.276865, 1171.108961, 244.766951
Transpose, 238, 2194.113970, 219.411397, 217.353106, 234.148979, 135.056973, 79.609561, 4.740143, 1109.817982, 1168.905020, 241.300821
Transpose, 512, 2195.204020, 219.520402, 216.697931, 232.980967, 135.392165, 79.348421, 4.772282, 1111.123085, 1196.450949, 244.009018
Transpose, 1024, 2188.225985, 218.822598, 215.826035, 231.428146, 134.909844, 79.211593, 4.695964, 1103.822947, 1111.845016, 240.746021
Shared, 32, 2397.737980, 239.773798, 235.723972, 254.614115, 200.908017, 34.086013, 4.772377, 1115.085125, 1184.993029, 244.534016
Shared, 48, 2470.519066, 247.051907, 242.583990, 262.984037, 200.270557, 42.057633, 4.715991, 1107.148886, 1201.738834, 241.605997
Shared, 64, 2777.251959, 277.725196, 273.466110, 289.464951, 201.292419, 71.649313, 4.775929, 1109.248161, 1159.084082, 245.108843
Shared, 128, 2847.529173, 284.752917, 281.287909, 300.841093, 200.650263, 79.393101, 4.702353, 1106.616020, 1213.480949, 241.944790
Shared, 238, 3001.206160, 300.120616, 294.029951, 328.436136, 201.171207, 93.971539, 4.971147, 1104.065895, 1176.120996, 241.013050
Shared, 512, 2882.676840, 288.267684, 285.770178, 300.954819, 203.828502, 79.730248, 4.701948, 1101.582050, 1143.683195, 237.287998
Shared, 1024, 2865.957022, 286.595702, 280.795097, 301.772118, 202.158904, 79.729414, 4.698801, 1104.704857, 1180.011988, 240.222931
All_GPU, 32, 373.090029, 37.309003, 35.301924, 39.072037, 0.000000, 35.679412, 0.018692, 1110.026836, 1233.149052, 332.980156
All_GPU, 48, 423.305035, 42.330503, 38.933992, 46.797037, 0.000119, 40.720701, 0.019526, 1109.046936, 1168.632030, 329.456806
All_GPU, 64, 713.716030, 71.371603, 69.320917, 72.175980, 0.000000, 69.739747, 0.021005, 1108.243942, 1178.287983, 335.108995
All_GPU, 128, 826.158047, 82.615805, 80.722094, 83.429098, 0.000095, 81.009364, 0.018835, 1104.806900, 1190.358877, 345.952034
All_GPU, 238, 966.895103, 96.689510, 95.186949, 98.387957, 0.000000, 95.638800, 0.012398, 1105.403900, 1174.756050, 332.623959
All_GPU, 512, 823.626995, 82.362700, 80.925941, 84.111929, 0.000000, 81.313992, 0.012064, 1102.973938, 1171.295166, 333.516836
All_GPU, 1024, 828.449965, 82.844996, 80.909014, 83.865881, 0.000000, 81.235504, 0.018716, 1105.916977, 1161.494970, 330.431938
